o	I	o
što	Cs	što
Ima	Vmr3s	imati
i	Cc	i
kakO	Cs	kako
sAd	Cs	sAd
što	Cs	što
se	Px--sd	sebe
prAvi	Vmr3s	praviti
.	Z	.

takvO	Pd-nsn	takav
vrEme	Ncnsn	vreme
bIlo	Vmp-sn	biti
.	Z	.

takOj	Rgp	tako
bIlo	Vcp-sn	biti
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
se	Px--sa	sebe
udavAla	Vmp-sf	udavati
mlAda	Agpfsny	mlad
naa/	Ncfsn	naa/
.	Z	.

nEsam	Var1s	biti
imAla/	Vmp-sf	imalti
.	Z	.

osamn/	Qr	osamn/
.	Z	.

ahA	Qr	aha
.	Z	.

pa	Cc	pa
dabOgme	Qr	dabOgme
takO	Rgp	tako
bilO	Qo	bilo
vEčeram	Vmr1s	večerati
se	Px--sa	sebe
Išlo	Vmp-sn	ići
u	Sa	u
svAtovi	Ncmpn	svat
pa/	X	pa/
.	Z	.

i	Cc	i
jUtrom	Ncnsi	jutro
•	X	•
rUčak	Ncmsan	ručak
i	Cc	i
((?))	X	((?))
.	Z	.

ispratIše	Vma3p	ispratiti
me	Pp1-sa	ja
i	Cc	i
tOlko	Rgp	toliko
((laugh))	X	((laugh))
.	Z	.

i	Cc	i
tad	Rgp	tad
nE	Qz	ne
je	Var3s	biti
mOglo	Vmpn	moći
ni	Cc	ni
da	Cs	da
se	Px--sa	sebe
vEnčaš	Vmr2s	venčati
((?))	X	((?))
••	X	••
ako	Cs	ako
nEmaš	Vmr2s	imati
osamnAes	Mlc	osamnaest
gOdine	Ncfpn	godina
.	Z	.

ja	Pp1-sn	ja
nEsəm	Vmr1s	biti
imAla	Vmp-sf	imati
osamnAes	Mlc	osamnaest
gOdine	Ncfpn	godina
.	Z	.

tEk	Rgp	tek
kad	Cs	kad
sam	Var1s	biti
dobIla	Vmp-sf	dobiti
•••	X	•••
ḱErku	Ncfsn	kćerka
Onda	Rgp	onda
səm	Var1s	biti
se/	X	se/
venčALi	Vmp-pm	venčati
smo	Var1p	biti
se	Px--sa	sebe
.	Z	.

pOsle/	Ncfpn	poslea
u	Sl	u
vInu	Ncnsl	vino
u	Sl	u
((?))	X	((?))
/	Z	/
u	Sa	u
cRkvu	Ncfsa	crkva
.	Z	.

tAd	Rgp	tad
bilA	Vcp-sf	biti
cRkva	Ncfsn	crkva
u	Sl	u
vInu	Ncnsl	vino
.	Z	.

tAd	Rgp	tad
smo	Var1p	biti
i	Cc	i
••	X	••
se	Px--sa	sebe
ispitAli	Vmp-pm	ispitati
na	Sa	na
Ispit	Ncmsan	ispit
.	Z	.

tAk	Rgp	tako
se	Px--sa	sebe
zvAlo	Vmp-sn	zvati
Ispit	Ncmsn	ispit
a	Cc	a
sƏg	Rgp	sad
verIdba	Ncfsn	veridba
((laugh))	X	((laugh))
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
takvO	Pd-nsn	takav
.	Z	.

drUgo	Mlonsa	drugi
kakvO	Pi-nsn	kakav
ḱu	Var1s	hteti
vI	Pp2-pn	vi
prIčam	Vmr1s	pričati
.	Z	.

kakO	Cs	kako
.	Z	.

aaa	Cc	a
kO	Cs	kao
Ide	Vmr3s	ići
.	Z	.

pa	Cc	pa
blIski/	Pi-nsn	blIski/
famIlija	Ncfsn	familija
.	Z	.

famIlija	Ncfsn	familija
.	Z	.

blIski	Agpmsny	blizak
.	Z	.

famIlija	Ncfsn	familija
komšIje	Ncmsg	komšija
.	Z	.

takOj	Rgp	tako
nEma	Vmr3s	imati
kakO	Cs	kako
•	X	•
sAg	Rgp	sad
što	Cs	što
Idu	Vmr3p	ići
ta	Cs	da
prIjatelji	Ncmpn	prijatelj
ta	Cc	ta
drUštvo	Ncnsn	društvo
ta	Cc	ta
((?))	X	((?))
/	Z	/
.	Z	.

tAg	Rgp	tako
nE	Qz	ne
imAl	Vmp-sm	imati
.	Z	.

svE	Pi-nsn	sav
bilO	Vcp-sn	biti
prOsto	Rgp	prosto
.	Z	.

a	Cc	a
sƏg	Rgp	sad
drUgo	Mlonsn	drugi
.	Z	.

((laugh))	X	((laugh))
kakO	Cs	kako
sam	Var1s	biti
ga	Pp3msa	on
upoznAla	Vmp-sf	upoznati
.	Z	.

#ko	Qr	#ko
da	Cs	da
nE	Qz	ne
dalEko	Rgp	daleko
slAtine	Ncfpn	slatina
i	Cc	i
zOrunovci#	Qr	zOrunovci#
.	Z	.

navadžIje	Z	navadžIje
pa	Cc	pa
•	X	•
dOšli	Vmp-pm	doći
da	Cs	da
me	Pp1-sa	ja
prOse	Vmr3p	prositi
.	Z	.

((noise))	X	((noise))
i	Cc	i
Eto	I	eto
takvO	Pd-nsn	takav
bilO	Vmp-sn	biti
.	Z	.

pa	Cc	pa
Ete	Npfsg	Eta
došlI	Vmp-pm	doći
da	Cs	da
pItaju	Vmr3p	pitati
za	Sa	za
devOjku	Ncfsa	devojka
.	Z	.

el	Qq	jel
Oḱe	Vcr3s	oḱbiti
el	Qq	jel
nEḱe	Pi-fpn	neki
.	Z	.

el	Qq	jel
vOli	Vmm2s	voleti
momkA	Ncmsay	momak
((laugh))	X	((laugh))
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
smo	Var1p	biti
si	Px--sd	sebe
se	Px--sa	sebe
znAli	Vmp-pm	znati
od	Sg	od
pOpre	Npfsg	pOpra
.	Z	.

i	Cc	i
.	Z	.

takvO	Pd-nsn	takav
tO	Pd-nsn	taj
bilO	Vmp-sn	biti
vrEme	Ncnsn	vreme
takvO	Pd-nsn	takav
.	Z	.

nEma	Vmr3s	imati
kAko	Cs	kako
sAgə	Px--sa	sAgə
.	Z	.

otIde	Vma3s	otići
kad	Cs	kad
Oḱe	Px--sa	Oḱe
((?))	X	((?))
.	Z	.

ni	Cc	ni
znAju	Vmr3p	znati
rodItelji	Ncmpn	roditelj
ni	Cc	ni
znAju	Vmr3p	znati
nIšta	Pi3n-n	ništa
.	Z	.

tƏg	Rgp	tako
bOže	Npmsv	bog
jA	Pp1-sn	ja
nesAm	Var1s	biti
smEla	Vmp-sf	smeti
od	Sg	od
•	X	•
mOjega	Ps1msay	moj
baštU	Ncfsa	bašta
da	Cs	da
•	X	•
progovOrim	Vmr1s	progovoriti
s	Si	sa
momkA	Ncmsay	momak
.	Z	.

onOj	Pd-nsn	onaj
bilO	Vmp-sn	biti
strOgo	Rgp	strogo
bilO	Vmp-sn	biti
.	Z	.

bilO	Vapn	biti
drUkše/	Agpnsny	drukšei
povUčeni	Appmpny	povući
ljudI	Ncmpg	čovek
bilI/	Pd-nsn	bilI/
bilO	Vmp-sn	biti
svE	Pi-nsn	sav
.	Z	.

a	Cc	a
sAg	Rgp	sad
.	Z	.

demokrAtija	Ncfsn	demokratija
.	Z	.

kAkvo	Pi-nsn	kakav
sƏg	Rgp	sad
.	Z	.

se	Pxsa	sebe
zabAvjaju/	Vmr3s	zabavjaju/ti
mojI	Ps1mpn	moj
se	Px--sa	sebe
((?))	X	((?))
unUci	Ncmpn	unuk
zabavljAše	Vme3s	zabavljati
skOro	Rgp	skoro
dEset	Mlc	deset
gOdine	Ncfpn	godina
.	Z	.

pa	Cc	pa
se	Px--sa	sebe
tAgə	Vmp-sn	tati
((laugh))	X	((laugh))
uzEše	Vma3p	uzeti
.	Z	.

a	Cc	a
•••	X	•••
•	X	•
kad	Cs	kad
sam	Var1s	biti
jA	Pp1-sn	ja
bilA	Vmp-sf	biti
tAg	Rgp	tako
nE	Qz	ne
.	Z	.

nE	Qz	ne
bIlo	Vmp-sn	biti
tOj	Pd-nsn	taj
takO	Rgp	tako
.	Z	.

prOsite	Vmr2p	prositi
danAs	Rgp	danas
jUtrom	Ncnsi	jutro
se	Px--sa	sebe
ženIš	Vmr2s	ženiti
i	Cc	i
Ajde	I	hajde
.	Z	.

večEra	Ncfsn	večera
.	Z	.

večEra	Ncfsn	večera
pa	Cc	pa
mUzika	Ncfsn	muzika
pa	Cc	pa
igrANka	Ncfsn	igranka
pa/	X	pa/
.	Z	.

svE/	Npmsn	svE/
mOša	Npmsn	Moša
znAje	Vmr3s	znati
kakO	Cs	kako
je	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

i	Cc	i
.	Z	.

pa	Cc	pa
kad	Cs	kad
ustAnu	Vmr3p	ustati
Onda	Rgp	onda
se	Pxsa	sebe
sprEma	Vmr3s	spremati
rUčak	Ncmsn	ručak
rUčaju	Vmr3p	ručati
i	Cc	i
.	Z	.

uzImu	Agpfsay	uzim
devOjku	Ncfsa	devojka
.	Z	.

pa	Cc	pa
tƏg	Rgp	tako
nE	Qz	ne
•	X	•
su	Var3p	biti
imAle	Vmp-pf	imati
limuzIne	Ncfpn	limuzina
kOla	Ncfpn	kola
.	Z	.

nego	Cc	nego
•	X	•
mEne	Ncfpn	mena
dovEzli	Vmp-pm	dovesti
s	Si	sa
kOnji	Ncmpn	konj
u	Sa	u
fijAker	Ncmsan	fijaker
.	Z	.

((laugh))	X	((laugh))
.	Z	.

nedU	Npfsa	Nede
imAla	Vmp-sf	imati
kOla	Ncnpa	kola
.	Z	.

nego	Cc	nego
•	X	•
odAvde	Rgp	odavde
iz	Sg	iz
zOrunovci	Npmpn	zOrunovac
jedƏn	Mlcmsn	jedan
.	Z	.

((XXX))	X	((xxx))
.	Z	.

pa	Cc	pa
dabOme	Qr	dabome
peškirI	Ncmpn	peškir
na	Sa	na
kOnji	Ncmpn	konj
.	Z	.

i	Cc	i
••	X	••
dEda	Ncmsn	deda
ljUba	Npmsn	ljUba
je	Var3s	biti
me	Pp1-sa	ja
dovEzal	Vmp-sm	doveći
.	Z	.

pa	Cc	pa
dabOgme	Ncfpn	dabogma
pozadI	Sg	pozadi
i	Cc	i
na	Sa	na
fijAker	Ncmsan	fijaker
•	X	•
ḱilIm	Qr	ḱilIm
.	Z	.

ma	I	ma
bilO	Vapn	biti
prOsto	Agpnsny	prost
.	Z	.

al	Cc	ali
tAg	Rgp	tako
bilO	Vmp-sn	biti
dobrO	Rgp	dobro
((laugh))	X	((laugh))
tAg	Rgp	tako
bilO	Vmp-sn	biti
tOj	Pd-nsn	taj
nAjbolje	Rgs	dobro
.	Z	.

pa	Cc	pa
Et	I	eto
tAg	Rgp	tako
se	Px--sa	sebe
daruvAlo	Vmp-sn	darovati
.	Z	.

tAd	Rgp	tad
se	Px--sa	sebe
daruvAlo	Vmp-sn	darovati
dArovi	Ncmpn	dar
((?))	X	((?))
.	Z	.

svE	Pi-nsn	sav
imAli	Vmp-pm	imati
sAmo	Rgp	samo
ne	Qz	ne
kao	Cs	kao
sAd	Cs	sAd
što	Cs	što
se	Px--sa	sebe
da/	X	da/
darUje	Vmr3s	darovati
.	Z	.

baščAluci	Npmpn	baščAluc
i	Cc	i
onOj	Pd-nsn	onaj
.	Z	.

rukavIce	Ncfpn	rukavica
i	Cc	i
peškIr/	Agpfpny	peškiri
rukavIce	Ncfpn	rukavica
i	Cc	i
peškIr	Ncmsan	peškir
.	Z	.

pa	Cc	pa
dabOgme	Qr	dabOgme
.	Z	.

plEteno	Appnsny	plesti
•	X	•
mAti	Ncfsn	mati
plEla	Vmp-sf	plesti
rukavIce	Ncfpn	rukavica
•	X	•
čarApe	Ncfpn	čarapa
.	Z	.

peškirčIḱi	Qr	peškirčIḱi
.	Z	.

pRteni	Npmsn	pRteni
•	X	•
pRteni	Agpmpny	prten
peškirI	Ncmpn	peškir
tkanI	Appmpny	tkati
.	Z	.

takO	Rgp	tako
svE	Pi-nsn	sav
s/	X	s/
.	Z	.

dabOme	Qr	dabome
.	Z	.

svE	Pi-nsn	sav
e	Var3s	biti
takvO	Pd-nsn	takav
bilO	Vmp-sn	biti
.	Z	.

a	Cc	a
sAg	Rgp	sad
jA	Pp1-sn	ja
kad	Cs	kad
sam	Var1s	biti
ženIla	Vmp-sf	ženiti
sIna	Ncmsay	sin
dvAes	Mlc	dvadeset
i	Cc	i
dvA	Mlc	dva
baščAluka	Agpmsgn	baščaluk
•	X	•
su	Var3p	biti
jedvA	Rgp	jedva
oterAli	Vmpm	oterati
u	Sa	u
dOm	Ncmsan	dom
gOre	Rgp	gore
.	Z	.

#vRzani#	Qr	#vRzani#
.	Z	.

svE	Pi-nsn	sav
sam	Var1s	biti
daruvAla	Vmp-sf	darovati
.	Z	.

a	Cc	a
sƏg	Rgp	sad
nEma	Vmr3s	imati
tO	Pd-nsn	taj
.	Z	.

o	I	o
pa	Cc	pa
dabOme	Qr	dabome
nameštAj	Ncmsn	nameštaj
fifonjEr	Ncmsn	fifonjer
pa/	X	pa/
•	X	•
dabOgme	Px--sa	dabOgme
.	Z	.

šifonjEr	Z	šifonjEr
pa	Cc	pa
((?))	X	((?))
•	X	•
krEvet	Ncmsn	krevet
pa	Cc	pa
astAl	Vcr3s	astabiti
pa/	X	pa/
.	Z	.

tOj	Pd-nsn	taj
i/	X	i/
.	Z	.

pa	Cc	pa
dabOgme	Ncfpn	dabogma
tO	Pd-nsn	taj
uz	Sa	uz
mirAz	Ncmsan	miraz
•	X	•
tOj	Pd-nsn	taj
mirAz	Ncmsn	miraz
dalI	Vmp-pm	dati
.	Z	.

za	Sa	za
#dreje#	Npmsan	#dreje#
.	Z	.

pa	Cc	pa
Idu	Vmr3p	ići
u	Sa	u
četvrtƏk/	Ncmsan	četvrtək/
u	Sa	u
nEdelju	Ncfsa	nedelja
svAdba	Ncfsn	svadba
u	Sl	u
četvrtƏk	Ncmsl	četvrtə
Idu	Vmr3p	ići
də	Vmr3s	dati
•	X	•
Uzmu	Vmr3p	uzeti
drEje	Ncfpn	dreja
.	Z	.

dotEraju	Vmr3p	doterati
drEje	Ncfpn	dreja
tAm	Rgp	tamo
gdE	Rgp	gde
se	Px--sa	sebe
dAje	Vmr3s	davati
devOjka	Ncfsn	devojka
.	Z	.

mOje	Ps1nsn	moj
drEje	Var3p	drEje
doterAli	Vmpm	doterati
u	Sa	u
četvrtƏk	Ncmsan	četvrtək
ovdEkaj	Rgp	ovde
takO	Rgp	tako
sam	Var1s	biti
imAla	Vmp-sf	imati
odElo	Ncnsa	odelo
.	Z	.

onO	Pd-nsn	onaj
gRdno	Agpnsny	grdan
je	Var3s	biti
odElo	Ncnsn	odelo
imAlo/	Pisn	imAlo/
nE	Qz	ne
imAlo	Vmp-sn	imati
nIšta	Pi3n-n	ništa
nIgde	Rgp	nigde
.	Z	.

kəkvO	Npmsn	kəkvO
je	Var3s	biti
imAlo/	X	imAlo/
tkanO	Agpnsny	tkan
.	Z	.

pRteno	Appnsny	prten
vUneno/	Vcr3s	vunenobiti
takvO	Pd-nsn	takav
kakvO	Pi-nsn	kakav
je	Var3s	biti
imAlo	Vmp-sn	imati
takvO	Pd-nsn	takav
se	Px--sa	sebe
nosIlo	Vmp-sn	nositi
.	Z	.

pa	Cc	pa
zatEkl	Agpmsnn	zatekl
sam	Var1s	biti
svEkra	Vmp-sf	svekti
i	Cc	i
svekRvu	Ncfsa	svekrva
i?))	Mlonsn	i?)i
•	X	•
mUža	Ncmsay	muž
.	Z	.

zAlva	Npfsn	zAlva
sam/	Npfsn	sam/
imAla	Vmp-sf	imati
sam	Var1s	biti
zAlvu	Vmp-sf	zalti
onA	Pp3fsn	on
se	Px--sa	sebe
bilA	Vmp-sf	biti
udaAla	Agpnsny	udaal
.	Z	.

i	Cc	i
•••	X	•••
•	X	•
takO	Rgp	tako
.	Z	.

o	I	o
jA	Pp1-sn	ja
sam	Var1s	biti
mOji	Ps1mpn	moj
poštovAla	Vmp-sf	poštovati
pa	Cc	pa
mAmo	Ncfsv	mama
pa	Cc	pa
tAto	Agpnsny	tat
pa/	X	pa/
bOže	Npmsv	bog
mIli	Agpmsny	mio
tOj/	Ncmsn	toj/
.	Z	.

a	Cc	a
sAd	Rgp	sad
•	X	•
tEtka	Ncfsn	tetka
i	Cc	i
tetIn	Npmsn	tetIn
.	Z	.

pa	Cc	pa
sAd	Rgp	sad
i	Cc	i
mojI	Ps1mpn	moj
takOj	Rgp	tako
.	Z	.

tEta	Ncfsn	teta
zOrica	Npfsn	Zorica
i	Cc	i
tEta	Ncfsn	teta
drAgi/	Npmsn	drAgi/
čIka	Npmsn	Čika
drAgiša	Npmsn	Dragiša
.	Z	.

ne	Qz	ne
samo	Rgp	samo
tO	Pd-nsn	taj
onI	Pp3mpn	oni
takOj	Rgp	tako
svI	Pi-mpn	sav
•	X	•
svI	Pi-mpn	sav
takOj	Rgp	tako
.	Z	.

svI	Vmr3s	svirati
ta/	Ncmsan	ta/
kOj	Pi-msn	koji
sAd	Rgp	sad
.	Z	.

aa	Cc	a
•	X	•
jA	Pp1-sn	ja
nEsam	Pp2-pd	nEsam
bOže	Npmsv	bog
.	Z	.

nAno	Npmsn	nano
.	Z	.

ne	Qz	ne
ni	Qo	ni
mAmo	Ncfsv	mama
nego	Cc	nego
nAno	Npmsn	nano
.	Z	.

nAno	Npmsn	nano
•	X	•
tAto	Agpnsny	tat
.	Z	.

i	Cc	i
takO	Rgp	tako
.	Z	.

tO	Pdsa	taj
su	Var3p	biti
stArci	Ncmpn	starac
onI	Pp3mpn	oni
bilI	Vapm	biti
stAri	Agpmpn	star
i	Cc	i
mojEg	Ps1msay	moj
mUža	Ncmsay	muž
čuvALi	Vmp-pm	čuvati
pod	Sa	pod
starOs	Npmsan	starOs
.	Z	.

i	Cc	i
((?))	X	((?))
•••	X	•••
pomrEše	Vma3p	pomreti
•	X	•
mI	Pp1-pn	ja
ostAdomo	Px--sa	ostAdomo
.	Z	.

sAmi	Agpmpny	sam
