dObar	Agpmsnn	dobar
ako	Cs	ako
s/	X	s/
ako	Cs	ako
smo	Var1p	biti
mI	Pp1-pn	ja
pOmlade	Vma3s	pomladiti
devOjčice	Ncfpn	devojčica
.	Z	.

Ipak	Rgp	ipak
se	Px--sa	sebe
smEra	Ncmsg	smer
••	X	••
koe/.	Mdc	koe/.
kOji	Pisn	koji
kojU	Pisa	koji
Oče	Var3s	hteti
.	Z	.

a	Cc	a
((?))	X	((?))
•	X	•
mI	Pp1-pn	ja
smo	Var1p	biti
səs	Si	sa
mOju	Ps1fsa	moj
svekRvu	Ncfsa	svekrva
bilE	Vmp-pf	biti
tO	Pd-nsn	taj
je	Var3s	biti
po	Sa	po
zAdružne	Agpfpay	zadružni
njIve	Ncfpa	njiva
.	Z	.

smo	Var1p	biti
bilE	Vmp-pf	biti
sEkle	Vmp-pf	seći
smo	Var1p	biti
nEku	Pi-fsa	neki
šUmu	Ncfsa	šuma
.	Z	.

a	Cc	a
onA	Pp3fsn	on
•	X	•
tvOje	Agpnsny	tvoji
d/	Ncnsn	d/
drugarIce	Ncfsg	drugarica
ḱe	Var3s	hteti
se	Pxsa	sebe
žEne	Ncfpn	žena
•	X	•
prOse	Vmr3p	prositi
i	Cc	i
mOmci	Ncmpn	momak
prOse	Vmr3p	prositi
•	X	•
a	Cc	a
tEb	Pd-msn	tEb
nIko	Pi3m	niko
ne	Qz	ne
prOsi	Vmr3s	prositi
jOš	Rgp	još
.	Z	.

pa	Cc	pa
štO	Pi3n	što
me	Pp1-sa	ja
brIga	Vmr3s	brigati
ako	Cs	ako
me	Pp1-sa	ja
ne	Qz	ne
prOse	Vmr3p	prositi
Ono	Pd-nsn	onaj
mi	Pp1-sd	ja
nesU	Vcr3p	biti
dvAes	Mlc	dvadeset
gOdine	Ncfpn	godina
.	Z	.

on/	Npmsn	on/
onO	Pd-nsn	onaj
mi	Pp1-sd	ja
šesnAes	Ncfpn	šesnaea
nesU	Var3p	biti
mi	Pp1-sd	ja
dvAes	Mlc	dvadeset
Ima	Vmr3s	imati
vrEme	Ncnsa	vreme
.	Z	.

mOj	Ps1msn	moj
momAk	Ncmsn	momak
jOš	Rgp	još
mlAd	Agpmsnn	mlad
.	Z	.

hm	I	hm
•	X	•
izgovIram	Pi3n-n	izgovIram
se	Px--sa	sebe
jA	Pp1-sn	ja
kakO	Cs	kako
se	Px--sa	sebe
mI	Pp1-pn	ja
pAdne	Vmr3s	pasti
na	Sa	na
Um	Ncmsan	um
.	Z	.

a	Cc	a
((?))	X	((?))
•	X	•
onA	Pp3fsn	on
me	Pp1-sa	ja
sAmo	Rgp	samo
ispitUje	Vmr3s	ispitivati
da	Cs	da
vIdi	Vmr3s	videti
••	X	••
kvI	Vmp-sn	kti
jA	Pp1-sn	ja
mIslim	Vmr1s	misliti
.	Z	.

mOre	Vmr3s	moći
kad	Cs	kad
se	Pxsa	sebe
pO	Sl	po
zAjeseni	Ncfsl	zajesena
••	X	••
amAm	Npmsn	amAm
.	Z	.

iz	Sg	iz
komšilƏk	Ncmsn	komšiluk
••	X	••
tAj	Pd-fsn	taj
bAba	Ncfsn	baba
mIra	Ncmsg	mir
•	X	•
onA	Pp3fsn	on
mi	Pp1-sd	ja
navadžisUje	Ncfpn	navadžisuja
••	X	••
do	Sg	do
jednogA	Mlcmsay	jedan
.	Z	.

e	I	e
((?))	X	((?))
•	X	•
na	Sa	na
mojU	Ps1fsa	moj
snAjku	Ncfsa	snajka
brAt	Ncmsn	brat
••	X	••
Isto	Rgp	isto
i	Cc	i
On	Pp3msn	on
dOšal	Vmp-sm	doći
iz	Sg	iz
vOjsku	Ncfsa	vojska
.	Z	.

i	Cc	i
i	Cc	i
jA	Pp1-sn	ja
si	Px--sd	sebe
Idem	Vmr1s	ići
kod	Sg	kod
snAjku	Ncfsa	snajka
slObodno	Rgp	slobodno
ne	Qz	ne
obrAǵam	Vmr1s	obraǵati
pAžnju	Ncfsa	pažnja
ni	Cc	ni
na	Sa	na
njEnog	Agpmsayy	njean
brAta	Ncmsay	brat
ni	Cc	ni
na	Sa	na
kogA	Ncmsay	kog
.	Z	.

čUvam	Vmr1s	čuvati
jA	Pp1-sn	ja
snAjkino	Agpnsny	snajkin
detE	Ncnsn	dete
••	X	••
i	Cc	i
Idem	Vmr1s	ići
si	Px--sd	sebe
kod	Sg	kod
njU	Pp3fsa	on
i	Cc	i
Oni	Pp3mpn	oni
si	Px--sd	sebe
dOde	Vma3s	doći
kod	Sg	kod
mEn	Pp1-sd	ja
.	Z	.

a	Cc	a
onI	Pp3mpn	oni
smEraju	Var1s	smEraju
jA	Pp1-sn	ja
da	Cs	da
otIdem	Ncmsn	otidem
za	Sa	za
njEnog	Ps3msg	njen
brAta	Ncmsg	brat
.	Z	.

ao	Cs	kao
•	X	•
i	Cc	i
•	X	•
jA	Pp1-sn	ja
sam	Var1s	biti
jedInica	Ncfsn	jedinica
nEmam	Vmr1s	imati
ni	Qo	ni
brAta	Ncmsay	brat
ni	Qo	ni
sestrU	Ncfsa	sestra
.	Z	.

da	Cs	da
je/	X	je/
i	Cc	i
mojI	Ps1mpn	moj
rodItelji	Ncmpn	roditelj
sas	Si	sa
mEne	Ncfpn	mena
da	Cs	da
idU	Vmr3p	ići
a	Cc	a
onI	Pp3mpn	oni
da	Cs	da
blokIraju	Vmr3p	blokirati
.	Z	.

da	Cs	da
blokIru	Agpmsny	blokiru
plAc	Ncmsn	plac
kuḱu	Ncfsa	kuća
kakvO	Pq-nsn	kakav
imA	Vmr3s	imati
da	Cs	da
se	Px--sa	sebe
prošIre	Vmr3p	proširiti
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
zove	Vmr3s	zvati
/	Z	/
•	X	•
ovAj	Pd-msn	ovaj
((?))	X	((?))
•	X	•
slUša	Vmr3s	slušati
i	Cc	i
glEda	Vmr3s	gledati
••	X	••
na	Sa	na
ovOga	Pd-msay	ovaj
dEčka	Agpfsny	dečki
tEtka	Ncfsn	tetka
onA	Pp3fsn	on
/	Z	/
.	Z	.

onA	Pp3fsn	on
slUša	Vmr3s	slušati
i	Cc	i
glEda	Vmr3s	gledati
prAti	Vmr3s	pratiti
situAciju	Ncfsa	situacija
.	Z	.

mOre	Vmr3s	moći
•••	X	•••
((XXX))	X	((xxx))
mOre	Ncnsn	more
nemOj	I	nemoj
tI	Pp2-sn	ti
da	Cs	da
glEdaš	Vmr2s	gledati
aš/	Npmsn	aš/
ovOg	Pdsg	ovaj
onOga	Pdsg	onaj
če	Var3s	hteti
dojde	Vmr3s	doći
dObri	Agpmsny	dobar
.	Z	.

pa	Cc	pa
nEka	Rgp	neka
dOjde	Vmr3s	doći
štO	Cs	što
ako	Cs	ako
doje	Vmr3p	dojiti
.	Z	.

i	Cc	i
((?))	X	((?))
•	X	•
kad	Cs	kad
bilO	Vmp-sn	biti
za	Sa	za
nOvu	Agpfsay	nov
gOdinu	Ncfsa	godina
•	X	•
a	Cc	a
((?))	X	((?))
••	X	••
On	Pp3msn	on
dOšal	Vmp-sm	doći
na	Sa	na
Osustvo	Npmsan	Osustvo
za	Sa	za
nOvu	Agpfsay	nov
gOdinu	Ncfsa	godina
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
On	Pp3msn	on
si	Px--sd	sebe
sas	Si	sa
njegOvi	Ps3mpn	njegov
drugAri	Ncmpn	drugar
kOji	Pipn	koji
si	Px--sd	sebe
Ima	Vmr3s	imati
.	Z	.

mA	I	ma
ne	Qz	ne
obrAḱam	Vmr1s	obraḱati
ni	Qo	ni
jA	Pp1-sn	ja
pAžnju	Ncfsa	pažnja
ni	Cc	ni
na	Sa	na
njEga	Pp3msa	on
ni	Qo	ni
On	Pp3msn	on
na	Sa	na
mEne	Ncfpa	mena
.	Z	.

pip	Var1s	pip
••	X	••
prOšla	Vmp-sf	proći
nOva	Ncfsn	nova
gOdina	Npfsn	gOdina
drUgi	Mlomsn	drugi
dAn	Ncmsn	dan
.	Z	.

njEgov	Ps3msn	njegov
ćAle	Ncmsn	ćale
doOdi	Vmr3s	doći
•	X	•
On	Pp3msn	on
bIl	Vcp-sm	biti
brigadIr	Ncmsn	brigadir
u	Sa	u
zAdrugu	Ncfsa	zadruga
.	Z	.

pa	Cc	pa
da	Cs	da
obavEsti	Vmr3s	obavestiti
moEga	Npmsd	moEg
tAtu	Npmsd	tAt
gde	Rgp	gde
če	Var3s	hteti
da	Cs	da
Idu	Vmr3p	ići
na	Sa	na
pOsao	Ncmsan	posao
•	X	•
po	Sa	po
zAdružno	Agpnsay	zadružni
imAnje	Ncnsa	imanje
.	Z	.

səd	Rgp	sad
če	Var3p	hteti
velI	Vmr3s	velim
dObri	Agpmpny	dobar
da	Cs	da
dOjde	Vmr3s	doći
.	Z	.

pa	Cc	pa
štO	Pi3n	što
ako/	Vmp-pm	akti
nEk	Pi-msn	neki
dojde/	Vcr3s	dojdebiti
pa	Cc	pa
nIšta	Pi3n-n	ništa
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
dogovorIše	Vma3p	dogovoriti
se	Pxsa	sebe
u	Sa	u
tri	Mlc	tri
rEči	Ncfsg	reč
se	Px--sd	sebe
dogovorIše	Vma3p	dogovoriti
.	Z	.

a	Cc	a
sƏg	Rgp	sad
vI	Pp2-pn	vi
ste	Var2p	biti
mlAde	Agpfpny	mlad
•	X	•
kəd	Z	kəd
((?))	X	((?))
•	X	•
#mev#	Npmsn	#mev#
Ima	Vmr3s	imati
sedamnAjes	Agpfpay	sedamnaje
gOdine	Ncfpa	godina
.	Z	.

vAma	Npmpi	v
.	Z	.

dvAes/	Npmsn	dvAes/
•	X	•
o	Sl	o
•	X	•
a	Cc	a
kad	Cs	kad
ti	Pp2-sn	ti
bilE	Vmp-pf	biti
sedamnAjes	Vcr3s	sedamnajebiti
gOdine	Ncfpn	godina
el	Qq	jel
znAeš	Vmr2s	znati
da	Cs	da
razmIšljaš	Vmr2s	razmišljati
mlogo	Rgp	mnogo
.	Z	.

kogA	Pi3m	tko
ne	Qz	ne
poznAeš	Pi3n-n	poznAeš
nEsi	Cc	nEsi
mu	Pp3msd	on
rEkla	Vmp-sf	reći
ni	Qo	ni
dObar	Agpmsnn	dobar
dAn	Ncmsn	dan
.	Z	.

i	Cc	i
dogovorIše	Vma3p	dogovoriti
se	Px--sa	sebe
.	Z	.

drUgu	Mlofsa	drugi
večer	Ncfsa	večer
••	X	••
spremImo	Vmr1p	spremiti
večEru	Ncfsa	večera
naprAvimo	Vmr1p	napraviti
verIdbu	Ncfsa	veridba
.	Z	.

a	Cc	a
na	Sa	na
mEne	Pp1-sa	ja
sedamnAjesta	Pi3n-n	sedamnAjesta
gOdina	Ncfpg	godina
.	Z	.

evO	I	evo
səg	Rgp	sad
u	Sa	u
sledEḱu	Pd-fsa	sledEḱu
nEdelju	Ncfsa	nedelja
če	Var3s	hteti
mi	Pp1-sd	ja
bUde	Var3s	biti
rOǵendAn	Ncmsan	rođendan
.	Z	.

i	Cc	i
za	Sa	za
nOvu	Agpfsay	nov
gOdinu	Ncfsa	godina
tOlko	Rgp	toliko
sam	Var1s	biti
zAšla	Vmp-sf	zaći
u	Sl	u
sedamnAjestu	Npmsl	sedamnAjest
.	Z	.

bIl	Vcp-sm	biti
tUj	Rgp	tu
sedamnAjes	Var3s	sedamnAjes
dAna	Appfsny	dati
na	Sa	na
Osustvo	Npnsa	Osustvo
.	Z	.

i	Cc	i
((?))	X	((?))
•	X	•
jA	Pp1-sn	ja
səm	Vcr1s	biti
dodIla	Vmp-sf	doditi
kod	Sg	kod
njI	Pp3-pa	oni
on	Pp3msn	on
dodIl	Vmp-sm	doći
kod	Sg	kod
mEne	Pp1-sg	ja
•	X	•
i	Cc	i
gostuvAli	Vmp-pm	gostuvati
smo	Var1p	biti
.	Z	.

nE	Qz	ne
imAlo	Vmp-sn	imati
igrAnke	Ncfpn	igranka
da	Cs	da
idEmo	Vmr1p	ići
po	Sa	po
igrAnke	Ncfsa	igranka
ali	Cc	ali
((?))	X	((?))
tudE	Rgp	tude
smo	Var1p	biti
si	Px--sd	sebe
.	Z	.

viǵAli	Vmp-pm	viǵati
smo	Var1p	biti
se	Px--sa	sebe
.	Z	.

i	Cc	i
((?))	X	((?))
••	X	••
On	Pp3msn	on
si	Px--sd	sebe
Otide	Vma3s	otići
u	Sa	u
vOjsku	Ncfsa	vojska
.	Z	.

trEba	Vmr3s	trebati
da	Cs	da
sedI	Vmr3s	sedeti
čE	Var3s	hteti
dOjesen	Npmsn	dOjesen
•	X	•
do	Sg	do
oktObar	Ncmsn	oktobar
mEsec	Ncmsn	mesec
.	Z	.

ali	Cc	ali
sreḱom	Rgp	sreḱom
skratIli	Vmp-pm	skratiti
mu	Pp3msd	on
rOk	Ncmsan	rok
pa	Cc	pa
u	Sa	u
aprIl	Npmsn	aprIl
mEsec	Npmsn	Mesec
dOjde	Vmr3s	doći
.	Z	.

i	Cc	i
((?))	X	((?))
•	X	•
nEsmo	Var1p	biti
sprEmni	Agpmpny	spreman
Odma	Npmsg	Odm
da	Cs	da
se	Pxsa	sebe
toj	Pdsn	taj
prAvi	Vmr3s	praviti
svAdba	Ncfsn	svadba
•	X	•
čEkaj	Vmm2s	čekati
.	Z	.

mOj	Ps1msn	moj
tAta	Ncmsn	tata
